,title,about,price,rating,reviews,market,link,req
0,"Ноутбук HONOR MagicBook X 16 2024 16"" DOS Intel Core i5 12450H 2 ГГц 8 ГБ SSD 512 ГБ Space Gray (5301AHHP)",{},35630,4.8,226,yand,https://market.yandex.ru/product--noutbuk-honor-magicbook-x16-2024-16-adl-i5-uma-8gb-ssd-512gb-space-gray-dos/59992039?sku=102732507771&shopId=431782&from-show-uid=17467151367313178596206001&do-waremd5=GDmM4AsT5SQZCNIh1L84uQ&sponsored=1&cpc=et9UZpWVAf1M5X0OTMJa4kvBgG71aZk1gF5Ia9uClc0hGuWCXnSoKIR-CwoqohkxhLqRcBJc59dX-ViY7hEPOYf6NlyBkODr-YbtDynYNCGjbVEitk_hR3VbHq-_iM1QC8uRTwyDUVlDlXzd4XApwsH0dIipbg9ztxihpStJ25T3ZAT8Q89EBsjStSVW5Y42DgyXUvYEMrXFuW139c0CazeFmJzNjbTmaUjhzwGiLaLEsBOxbbFQvHlaBLHEnp1eN9S8u3QUeogRehdYK9S1uz5o794g4sp2v8PGDuh6AaLlPkvbWxVX9u2vhzmvenh0hfm-x-6I7RACZSkkut-Qwow80xDtwnNeG0cfUgNioWVFElf-QWrYrLoEhWOiQ45kPfq5V1tVdH8UAA0Zt6cCCzWtBRYz10eC2KnUqXo32YRbNj-GlY4_6UVHS8gT7FpoNP-pz6xOPlx86iIqifKXcvdBdCzcg6nTZK5BCjM3jassZC_CYLuEzBg90PDqs0GkMlo57qwCQPNssCMpcA-onkzyfor9qxzA&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=924574,Ноутбук
1,"Ноутбук для работы и учебы 15.6"" Echips Taganay 1920x1080 IPS Intel Celeron N5095 16GB RAM SSD 512GB Win 11 Home",{},24347,4.7,949,yand,https://market.yandex.ru/product--noutbuk-dlia-raboty-i-ucheby-15-6-echips-taganay-1920x1080-ips-intel-celeron-n5095-16gb-ram-ssd-512gb-win-11-home/802276263?sku=103575126748&shopId=431782&from-show-uid=17467151367313178596206002&do-waremd5=djiHbenkPG5t74M7a89UjQ&sponsored=1&cpc=et9UZpWVAf2KdBTN-qf5P8c1OWGG6We_cIXechYRC7e9oz2p6PDjwYW4UUsLdQI78eghDFRxJAjK5FlzY48YnKdsTnig2_WEh3PyHKx57ELUtDOjPldfbUDrFTOsM1F4hSfGObedFIcKb7RnNFJHjBNIdzK7fIz0UYNE5UwFSz8t8tL5IY2jt4ja3nFW38FfzpdSO2AaJLoOtIg-u3ijZwKnVqTa4496zMTGZp_eq7h1_3oUoMi-K_Qc44xZRS8_-tiHuF9ZjLwr7a6-AHNQkMlIBHOcxSLYZs-jykHxWFjPka_6t5eMT2_DNLPxImZUGXImNfUSeEW4GnaHZELc3jj9ft_tigdnDdD4JqknOCF31NcaLjV1lgC5gUCqYJWd5zWDJc2ywKwJHLsnLiCg41an6lNO7QvXAoS-xnxk4QtNsylTapFTGWVyjMkS9lPAZmvrR8fq4V3Gg1SRv2W7uIgEglA_prCjPhe5FcChXP-YVD9ZznAvM1x5vnOvVCxZVmXIAFHPctfvTgWUfs79HJHwAjIO9Igi&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=89672278&cpm-adv=1,Ноутбук
2,"Ноутбук для работы и учебы 14"" Echips Taganay, Intel Celeron N5095, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Home, серый, русская раскладка",{},22310,4.7,949,yand,https://market.yandex.ru/product--noutbuk-dlia-raboty-i-ucheby-14-echips-taganay-intel-celeron-n5095-ram-16-gb-ssd-512-gb-intel-uhd-graphics-windows-home-seryi-russkaia-raskladka/802134617?sku=4316925979&shopId=431782&from-show-uid=17467151367313178596206003&do-waremd5=S8KuKfkydaLu7m-_A-LoSg&sponsored=1&cpc=et9UZpWVAf0eiB-qDxPDlkkfh0_dDZgVaJiaeLMNFE_X6bHH29rGLbTop3VLmScBhIen7b1_2vvFgK5zOEKxgNFe_Wtx3Wa01NfSwOwoJegn3ZksduwUQzOMD6tPjJc2Q0zKV1ydGyncDTSIMRG5yOEhSz0ui0p5Tp2FrjSalr4tOcoKN7me-VmM2n5RVY_JjP3IFaPSUNNUL9zRqqyqS0rsxLvSl08zwRWCwVBkwNd2EWBAKqBmHHYPARvO33MlVHoY1dMjaMDmmdjPXw-J5uE9V4hVcBPk89AluAH2w2gd1IsO_3JwJmnflMH1lqva1D5SD-o6dE_sPrBXzmitNd8cKXuUcfH2Ifet2YeT5DuoNgwCfmMxvD6iBQO_izhFD03IKJnDXzLCc-mgY3W4J7ksXp-apegOaEayhe8I4Xipogd1QkE8qSZttRiaHM1T8o_TAbLa9dl4EJCqUo_ZmYZJgPQLpk-eIFAD4HwI8CN4VqIYWEH97JaAuWYToWZN_CtiRIl6Mc6WIQZ0oZ_o1qMr5ZB9HSsX3Ah1kKkabyY%2C&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=89672278,Ноутбук
3,"Мощный ноутбук для работы, учебы и игр Echips Booster 15.6"" 1920x1080 IPS Intel Core i5-1030NG7 16GB RAM SSD 512GB Win 11 Home",{},35696,4.8,124,yand,https://market.yandex.ru/product--moshchnyi-noutbuk-dlia-raboty-ucheby-i-igr-echips-booster-15-6-1920x1080-ips-intel-core-i5-1030ng7-16gb-ram-ssd-512gb-win-11-home/925155822?sku=103706487924&shopId=431782&from-show-uid=17467151367313178596206004&do-waremd5=sQpJP3ZqeSxcFsz_AAmXaw&sponsored=1&cpc=et9UZpWVAf3k9a1L_8rR0QZ10yeMRhzgpiNxFsT0Y2xQyOqa3PauPtKOsX1joXN6XJ9Dbfd1nS7x1-NYBsboma7m8MndRZkJR4I9TpPoejOnGibV4PVQnqs7mLSgV6DMb2oXJH8KGQmp66Ht76FmqoeIT537-MlnevuikPr2HEwgYHVSl4gc2P9Mv-dMjXw8cw52vEaF_l1xNW8jzmv7St_S4FsnY32tlwHuq_veSTzTN-zpd_Z5xVub93XGLOlTWOdTdjFjtXr4IqeQTzKK2USlBZvpUVbclVrNG7lHWtRwa8v16QG0iwZWmK_kquuXpFVUJTyEUYBj7Am9uZlOwvGs9-0ehEN7-cJXTb7BqfBDoaChlDyC-4ew015_rJlPBGK5grUj260xrfrgaTD2nJP1wvMfAxSqlC36Ncw8KNqLIcaSN2X40hv33xsxQIud5xUtA7_bOxRVBipiGmopvrj1MGm1VikSU8qz2Cg2s5w156KFKwBBJe1R9zX4RVFl4KCiCCMUelbJCJWhOs1iFI4tWouyAQiT&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=89672278,Ноутбук
4,"15.6"" Ноутбук Vitumi LV5PIW 1920x1080, Intel Celeron N4020C 1.1 ГГц, RAM 8 ГБ, DDR4, SSD 256 ГБ, Intel UHD Graphics, Windows 11 Home, серый",{},21780,4.6,1298,yand,https://market.yandex.ru/product--15-6-noutbuk-vitumi-v15-lv5piwg01-1920x1080-ips-celeron-n4020c-8gb-256gb-ssd-windows-11-seryi/42487102?sku=102601012807&shopId=431782&from-show-uid=17467151367313178596206005&do-waremd5=pAyZAKOUv-k9T4hINT-Aww&sponsored=1&cpc=et9UZpWVAf1XPUeFcwF2eS2r371Vvntd1hahByD1fZDJQB7R-OPn8zqmWV5cUd3IJWnOiceBMdMRKaX4xyv8-OLEadd-trNWfNEQPOXOTC7mryZsOYfw3kw9XY0IgUEwbvRgW-Ypa1JA84QIv2hOs954YSianjlcDK13AYzQbe4FkZoaX9Gswr4NfLeBHPUY6fCVjrMABowK3oCLviznAJ4mmfMVv-m175SM_0JN6Qs0QAxZaVbF5UOd_BpjOwHRQMbRxdMTmUZwrYKYW1a5qdFczToS9Eg7CyvEkoOjQ6G85EoIwWLRZXLsvIFfI20ngt8xJloWergWsqf4NDAExneiOm1VRnnXBgbbWINiTAXKVAKfONokOp8QVOOaoVAVKgRFft_2L4hWJSOp8SVIIgE7I2LP70q3aw1WMU34dZd0WL2WcZdl7UhV4B2CllwKfh_pFHH_Z5POdIE_Dxeq9d6g23E3yFZLOTXc0w95gPTKaIDKKl-yOu9uP4eiUhbFty6SkcaioxH36P8LNtf_PwGO1Zp-2cjH&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=83022309,Ноутбук
5,Ноутбук WatchMe с процессором Intel Celeron и разрешением экрана 1920 x 1080,{},23364,4.4,423,yand,https://market.yandex.ru/product--noutbuk-watchme-s-protsessorom-intel-celeron-i-razresheniem-ekrana-1920-x-1080/257400499?sku=103229251523&shopId=431782&from-show-uid=17467151367313178596206006&do-waremd5=NBMVVc7Ti7ArUhru5DENjw&sponsored=1&cpc=et9UZpWVAf2hSYF8jEiy2Z_JsPMWcfy96g7y-jOlW7MR6qEU5UrGefU436A-mrr-BLAB25BIcZo_W0--L4pf_gHohUE9lyAfOd3gxHLZy6TQOuoW5Q7mSSIII6x_1l-g7HTKyKG-sJE13yUGaOYX96JOoM5Fdy7B4o3AZWr9PvILXuZX8QDDg_I-O07A8o3FQaxXXqsXQJvFlgZH6BVWgs5x0yK6p-m-EcjV03yZPeG15rwuFSdQ4qnIWln6oZFKMel5_LVpodLyqr8ulnh82xtKet4Irw8jFFUrOUArV7apoI8d501SXSzaKpRm3-52xNn4BJ4nPZuGaodF-8hkEG8o3oT2afFKLgFqGi6nUgJxWCLBLn45qfatLBrmYzqBGM1KGfq7QO0xQY0_bihiUFM79GE0uRWRkQGSurT10dLHiPjGljiz7Xcm0WYC-GWavbHtlSurf9c4sisCItbE5zcnTrN-i4ocAR5Xm4TSrL-IQexRn_5_YAzU5Eq7_iJLrwKfvogU3sEjqqGZtL1aXUgMXg5nHxKb&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=2517403,Ноутбук
6,"Ноутбук для работы и учебы Echips Hot 15.6"" 1920x1080 IPS Intel Core i3-1025G1 16GB RAM SSD 512GB Win 11 Home",{},31816,4.8,864,yand,https://market.yandex.ru/product--noutbuk-dlia-raboty-i-ucheby-echips-hot-15-6-1920x1080-ips-intel-core-i3-1025g1-16gb-ram-ssd-512gb-win-11-home/121251461?sku=103048224867&shopId=431782&from-show-uid=17467151367313178596206007&do-waremd5=Soo2_vi4x3tutoWB6EsppA&sponsored=1&cpc=et9UZpWVAf0g0r1R_BD1c66PmEqA_oKeDk_C8ZvTuzq3ok33yh23U01VW2xk7I_0oJ73oTwSZ217v0rNEn5aGPWrn36KaO_UsD0g4v3Iep4-c_ZAhL6O4wOLrg3gvqEAqMIVkXcSI3B93O1LoWT7E3_n8_IL3AqqJkgqh5gAE3tSre9spqZ5toA25G_h0foSQoqylmQHHJ4ed1kXLEZMqRlzDvIP2bsidHp9xbOrWTR57I1rNGQs8fOJVVWBL3UTawn4Xiw2yh2LbWELygrPcBtsRJsVyXUPgN3P6htszA2swQLP7c6u723eNrsgGV23Dap_u__peA4Ub42NfKO_DGmVLg3GERkbxQlrbGy__y8RsMy7hG37CAR1klKAGl1GH2_0O6D3LnSNVtqey4I6qI4BjiHpUMTw_XqPU5CFqnCCqr4hutz02CVs2pOVTWHasAcunCswpQLHV92t2Owo9z0i0lFJayt5VpBVeagH1IzS2DO3es-IxrN3NQ2azL1_Sbs5cEbnlq5uEnRRDVuDbcbQ9NJXs6dW&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=89672278,Ноутбук
7,"Ноутбук для работы и учебы Echips Taganay 15.6"" 1920x1080 IPS Intel Celeron N5095 8GB RAM SSD 256GB Win 11 Home",{},21340,4.7,949,yand,https://market.yandex.ru/product--noutbuk-dlia-raboty-i-ucheby-echips-taganay-15-6-1920x1080-ips-intel-celeron-n5095-8gb-ram-ssd-256gb-win-11-home/802134617?sku=103575066573&shopId=431782&from-show-uid=17467151367313178596206008&do-waremd5=XToNkN2KIcxavGb_cfkjHw&sponsored=1&cpc=et9UZpWVAf1Q1IYf8XJGsDCCKbzEqpxg8RTTn1UhU5xXg8DgvzZf-GmDXxKDJO45i1nxAe5BTJnsJm_f9x-1GbWbDCpflqLvHdfZcxT04JrliDLw5RGsjWVXEtB6XAwr2n6yoOXhn5VK3BMuSn55_ASfWixxYcts8gQ6jQ1t_GrVKR6tMjgZ_Jv0Pad8Ws_TrApQYJMicPd9JLXAZ0ANIQmwWZkc1pXYDvJASAYBfMvoi3PZzzDh2ptbxo7J30Cw4SRq25uD_i4Ej7IMRBujJXQZ5EGx3kJPlU0d5ewRkEFS914ps_rhg9vHGbD4ZJUbSBSPJiPEVTKMtAhQtHBtYDw2mS7EX6t-yD3eXZFBjPHYYogUqCKxWa-9EcOT1hAQpzqqifRxhX3hBx47vJ-pNXHvQw6Ps5ahO6TyoFee1gYzqJzmS3Y26PoDNn0Oq0GTu1IEhcCURMYO2I8LoMEn9Wl5ejoxbr3Y9IP0Vq0kyvsQCdvKbfnKJGJ1mIUatXmYCthqfbcWdi75vz2lEppjZSCqj88KKzbo&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=89672278,Ноутбук
8,"Ноутбук для работы и учебы SkyX 15,6"" 4-ядра IPS 16Гб SSD 512 Гб",{},30723,4.9,117,yand,https://market.yandex.ru/product--noutbuk-dlia-raboty-i-ucheby-skyx-15-6-4-iadra-ips-16gb-ssd-512-gb/502783311?sku=103415463952&shopId=431782&from-show-uid=17467151367313178596206009&do-waremd5=HnQjbZwC6IM9587ZwlvQig&sponsored=1&cpc=et9UZpWVAf1zQRqEBuYrQK_ucrwza_DL3oY7-GiVbwB4vJhctuirTHbPnCGgAdy1rUiGxs-7tI0vJ1VLCBPoo6Uk_bSs889PFrhWbzjjbYAsdycfGHtiU6CJXplFnYq6Wxvd3miEpU9aWvxRLdjxhYg4PLgzDUM3QoVJd_W_hhvQ4Hq_-N71a-aoU27-4IqEXVxuc_g4oLn8HeAm1yit5U7kyD8y0P0QS_uH1BSsLvkmfOQbQUuHdsh_nI0MIXcZ-mKDi9h27YRusvXJRel_Qhihzpse7bj8-6tpVUUVmXJ91jx5bO-9YsUMYsBOQe3eIczoAfu5vrHEviJGxr4SuwupMQNQAkQYgiq3WBUeihIt7772rDN7xFB8vCYpSkLMPLYzJGz810QB2plZ35I_O_ELuosvLGqkjTbI1VB7KavoTw5KK4hq3mb35ffsLsKX6azku5aX_PU45zwAaOg4xPOo4CmIKp1AEu-r16UQSwVI15vnx-Q_Tk-dIV6-L9SRTRZcXVlmhfD6jRw1ApQWXe0_N6bFwHsPlCaUfqXFGUk%2C&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=159065027,Ноутбук
9,"14"" Ноутбук LUNNEN Ground 14 (2025), AMD Ryzen 7 5825U, RAM 16 ГБ, SSD 512 ГБ, IPS 1920x1200, Windows 11 Home, цвет Silver Sea, LL4FAWL01",{},49490,4.7,285,yand,https://market.yandex.ru/product--14-noutbuk-lunnen-ground-14-amd-ryzen-7-5825u-ram-16-gb-ssd-512-gb-ips-1920x1200-windows-11-home-tsvet-silver-sea-ll4fawl01/816837024?sku=103590615243&shopId=431782&from-show-uid=17467151367313178596206010&do-waremd5=2Qc6M_8mq3SUnSiL6hjlLg&sponsored=1&cpc=et9UZpWVAf1aK70_xMqlmiNkM5eXp30W8Wayps-bly2Lig2CgGlIHA51NBkc7Mv17L7E-jwaeLYC2u9ZG31tj0MjUPPYWeham6vXmbY95pJNDqM3IBk1z14M8sjTCW7bvJPQg6uvw_KhCwBUUhnAa6YR33HIKOMcfXRLh7tIJeiOQqiHlZrGmncldP4Z8FAynNYviOzxaaxOBnLBPQiHVJIJNGr0_qJ3E5m_Zuay7fXRKHC6eABkJ-Bkjz88kWqwhDmid0xVIwKXhjjyyn362-MvnpwZM9DT2JI9MncG44LCgSM4qKEWJPd8VDKHIWwcSvu6hRElIqE4GaD0WMdSugK2WTX4IKAC4EBFxFiYUnqpNYrIYmpH2FCqYKiNpevR18BTRTP6ARfh535pae1bO8H4EuqTfogKICzNSYGkl-93U9W6daNtrNpf1d_7LNdtTjYdKwf5g3ntaWPABy39oUEiWUPegJB8hQw-LVtMTQCB7a8O1U5c5Gn9mwI5YNoSUkVcAO2_LOYnPGNdL0GrlI2vfDvIBJUGlYfNUZCA9GI%2C&cc=CiBkYTEyNjYzNTM3Mzk5YjlmNTY5OWJmOTVkNzYzNzI0ORDmAYB95u0G&uniqueId=83022309,Ноутбук
